广东珠江高清,rtp://239.77.0.1:5146
广东卫视,rtp://239.77.0.2:5146
广东珠江,rtp://239.77.0.3:5146
广东新闻,rtp://239.77.0.4:5146
广东公共,rtp://239.77.0.5:5146
广东体育,rtp://239.77.0.6:5146
广东国际,rtp://239.77.0.7:5146
广东经济科教,rtp://239.77.0.8:5146
广东南方卫视,rtp://239.77.0.9:5146
广东综艺,rtp://239.77.0.10:5146
广东影视,rtp://239.77.0.11:5146
广东少儿,rtp://239.77.0.12:5146
广东嘉佳卡通,rtp://239.77.0.13:5146
房产频道,rtp://239.77.0.14:5146
岭南戏曲,rtp://239.77.0.16:5146
英语辅导,rtp://239.77.0.17:5146
现代教育,rtp://239.77.0.18:5146
会展频道,rtp://239.77.0.19:5146
移动频道,rtp://239.77.0.20:5146
快乐宠物,rtp://239.77.0.21:5146
南方购物,rtp://239.77.0.22:5146
CCTV-1综合,rtp://239.77.0.30:5146
CCTV-2财经,rtp://239.77.0.31:5146
CCTV-3综艺,rtp://239.77.0.32:5146
CCTV-4中文国际,rtp://239.77.0.33:5146
CCTV-5体育,rtp://239.77.0.34:5146
CCTV-6电影,rtp://239.77.0.35:5146
CCTV-7军事农业,rtp://239.77.0.36:5146
CCTV-8电视剧,rtp://239.77.0.37:5146
CCTV-9纪录,rtp://239.77.0.38:5146
CCTV-10科教,rtp://239.77.0.39:5146
CCTV-11戏曲,rtp://239.77.0.40:5146
CCTV-12社会与法,rtp://239.77.0.41:5146
CCTV-13新闻,rtp://239.77.0.42:5146
CCTV-14少儿,rtp://239.77.0.43:5146
CCTV-15音乐,rtp://239.77.0.44:5146
CCTV-NEWS,rtp://239.77.0.45:5146
湖南卫视,rtp://239.77.0.46:5146
浙江卫视,rtp://239.77.0.47:5146
江苏卫视,rtp://239.77.0.48:5146
东方卫视,rtp://239.77.0.49:5146
安徽卫视,rtp://239.77.0.50:5146
北京卫视,rtp://239.77.0.51:5146
天津卫视,rtp://239.77.0.52:5146
山东卫视,rtp://239.77.0.53:5146
江西卫视,rtp://239.77.0.54:5146
深圳卫视,rtp://239.77.0.55:5146
湖北卫视,rtp://239.77.0.56:5146
辽宁卫视,rtp://239.77.0.57:5146
黑龙江卫视,rtp://239.77.0.58:5146
贵州卫视,rtp://239.77.0.59:5146
四川卫视,rtp://239.77.0.60:5146
河南卫视,rtp://239.77.0.61:5146
云南卫视,rtp://239.77.0.62:5146
重庆卫视,rtp://239.77.0.63:5146
河北卫视,rtp://239.77.0.64:5146
东南卫视,rtp://239.77.0.65:5146
广西卫视,rtp://239.77.0.66:5146
吉林卫视,rtp://239.77.0.67:5146
陕西卫视,rtp://239.77.0.68:5146
山西卫视,rtp://239.77.0.69:5146
内蒙古卫视,rtp://239.77.0.70:5146
青海卫视,rtp://239.77.0.71:5146
旅游卫视,rtp://239.77.0.72:5146
宁夏卫视,rtp://239.77.0.73:5146
西藏卫视,rtp://239.77.0.74:5146
新疆卫视,rtp://239.77.0.75:5146
甘肃卫视,rtp://239.77.0.76:5146
兵团卫视,rtp://239.77.0.77:5146
卡酷动画,rtp://239.77.0.79:5146
金鹰卡通,rtp://239.77.0.80:5146
炫动卡通,rtp://239.77.0.81:5146
CETV-1,rtp://239.77.0.82:5146
山东教育,rtp://239.77.0.83:5146
广东卫视高清,rtp://239.77.0.84:5146
广东经济科教高清,rtp://239.77.0.85:5146
CCTV-1高清,rtp://239.77.0.86:5146
CCTV5＋体育高清-测试,rtp://239.77.0.87:5146
湖南卫视高清,rtp://239.77.0.88:5146
浙江卫视高清,rtp://239.77.0.89:5146
江苏卫视高清,rtp://239.77.0.90:5146
北京卫视高清,rtp://239.77.0.91:5146
深圳卫视高清,rtp://239.77.0.92:5146
黑龙江卫视高清,rtp://239.77.0.93:5146
山东卫视高清,rtp://239.77.0.94:5146
湖北卫视高清,rtp://239.77.0.95:5146
厦门卫视,rtp://239.77.0.96:5146
天津卫视高清,rtp://239.77.0.97:5146
东方卫视高清,rtp://239.77.0.98:5146
IPTV谍战剧场,rtp://239.77.0.99:5146
IPTV相声小品,rtp://239.77.0.100:5146
IPTV野外,rtp://239.77.0.101:5146
IPTV法治,rtp://239.77.0.102:5146
IPTV6＋,rtp://239.77.0.103:5146
经典电影,rtp://239.77.0.104:5146
IPTV8＋,rtp://239.77.0.105:5146
热播剧场,rtp://239.77.0.106:5146
IPTV3＋,rtp://239.77.0.107:5146
IPTV5＋,rtp://239.77.0.108:5146
少儿动画,rtp://239.77.0.109:5146
魅力时尚,rtp://239.77.0.110:5146
收视指南,rtp://239.77.0.111:5146
广东体育高清,rtp://239.77.0.112:5146
财富天下,rtp://239.77.0.113:5146
广东珠江超清,rtp://239.77.0.114:5146
韶关综合,rtp://239.77.0.116:5146
韶关综合高清,rtp://239.77.0.117:5146
韶关公共,rtp://239.77.0.118:5146
韶关公共高清,rtp://239.77.0.119:5146
湛江综合,rtp://239.77.0.120:5146
湛江公共,rtp://239.77.0.121:5146
北京纪实高清,rtp://239.77.0.122:5146
